,0,1,2,3,cluster_label
cluster_3_1,0.20604801,0.06778538,0.00432346,0.12210553,3
cluster_3_2,-0.12964067,-0.0379858,-0.00134603,-0.01668032,3
cluster_3_3,0.02735079,0.00370116,-0.00098697,-0.0521077,3
cluster_4_1,0.32332005,0.06443716,0.13521867,-0.20283422,4
cluster_4_2,0.10375228,-0.07804063,-0.02701338,0.03441589,4
cluster_4_3,-0.076203,-0.15553136,-0.00216698,-0.02463935,4
cluster_4_4,-0.10609265,0.14252549,-0.00310307,0.0259456,4
cluster_5_1,0.29571919,0.08109348,-0.00154368,-0.21592854,5
cluster_5_2,-0.06095019,-0.02896272,0.16688003,0.0051842,5
cluster_5_3,-0.12608198,0.17709479,-0.09550346,-0.00822573,5
cluster_5_4,-0.02016705,-0.11737509,-0.10210554,0.00899499,5
cluster_5_5,0.26081504,0.1047398,0.00862765,0.30801497,5
cluster_6_1,0.28943432,0.09146465,-0.02699892,-0.21878867,6
cluster_6_2,-0.09124397,-0.1404002,0.15753148,-0.01160942,6
cluster_6_3,-0.13428806,0.17032591,0.00414741,-0.00033219,6
cluster_6_4,-0.0205996,-0.1163488,-0.10251856,0.00855284,6
cluster_6_5,0.26104341,0.10473747,0.00652012,0.31024996,6
cluster_6_6,0.06897437,-0.101425,0.1790388,0.0141351,6
cluster_7_1,0.17709772,0.26001993,-0.00965628,-0.2049171,7
cluster_7_2,0.36977938,-0.07527577,-0.01236865,-0.20964117,7
cluster_7_3,-0.02128014,-0.12508334,0.16372979,0.00588072,7
cluster_7_4,-0.06769515,0.18591058,0.00636969,0.04263658,7
cluster_7_5,-0.02137228,-0.11684778,-0.10174942,0.01014932,7
cluster_7_6,0.25393757,0.10031076,0.00833168,0.31628016,7
cluster_7_7,-0.19628982,0.14154589,0.00384603,-0.0190957,7
cluster_8_1,0.19073125,0.25935575,-0.01544171,-0.21128596,8
cluster_8_2,-0.02159228,-0.11713961,-0.1016526,0.01011778,8
cluster_8_3,0.08630456,0.24948366,-0.03952082,0.22547955,8
cluster_8_4,-0.15366538,0.15841334,-0.09588104,-0.01083647,8
cluster_8_5,0.36363324,-0.07749803,-0.01285968,-0.21704628,8
cluster_8_6,-0.02237372,-0.12812312,0.16159746,0.00852714,8
cluster_8_7,0.30997242,0.01659613,0.01207216,0.30548577,8
cluster_8_8,-0.13329441,0.15670735,0.17679704,-0.00293312,8
cluster_9_1,0.12770557,0.44694898,0.02291453,-0.20487047,9
cluster_9_2,-0.0253451,-0.1276744,0.16007391,0.01094053,9
cluster_9_3,-0.02810269,0.18604707,-0.11262452,0.002476,9
cluster_9_4,0.47129206,0.05970268,-0.08870154,-0.08930277,9
cluster_9_5,0.24841934,0.02537123,0.12744945,-0.24861314,9
cluster_9_6,0.06249479,-0.10525407,-0.10567192,0.025734,9
cluster_9_7,0.22657199,0.08728623,0.01621472,0.33488883,9
cluster_9_8,-0.16781269,0.14951026,0.04019474,-0.00458917,9
cluster_9_9,-0.08864109,-0.12854712,-0.10168344,-0.01097827,9
cluster_10_1,0.25435729,0.12753934,-0.08499523,-0.21071225,10
cluster_10_2,0.06497839,0.31950212,-0.07174321,0.0292242,10
cluster_10_3,-0.15555279,0.15724872,-0.09438406,-0.00826268,10
cluster_10_4,0.26978512,0.07651782,0.01654364,0.32536933,10
cluster_10_5,0.36166561,-0.065333,0.13169959,-0.21890765,10
cluster_10_6,-0.00506328,-0.12902808,-0.10206872,0.00310405,10
cluster_10_7,-0.09111199,-0.14074767,0.15765719,-0.01231362,10
cluster_10_8,-0.13236332,0.15814368,0.1760451,-0.00316869,10
cluster_10_9,0.05226561,-0.11141928,0.16291684,0.03650159,10
cluster_10_10,-0.12338031,-0.04045548,-0.10328734,0.04998712,10
cluster_11_1,0.20037085,0.25753273,0.12939968,-0.22378532,11
cluster_11_2,0.36415058,-0.08852349,-0.0187703,-0.21362652,11
cluster_11_3,0.29178559,0.09731459,-0.02949422,0.34311501,11
cluster_11_4,0.14656532,0.23980405,-0.20307944,-0.17001022,11
cluster_11_5,-0.17903203,0.14577404,0.03424646,-0.01273378,11
cluster_11_6,-0.13882307,-0.04604634,-0.10370034,0.037869,11
cluster_11_7,0.05705652,-0.10367793,-0.10131737,0.03572424,11
cluster_11_8,-0.04331419,-0.13479553,0.16131066,-0.00870536,11
cluster_11_9,-0.0522371,0.19361096,-0.05886658,0.06391107,11
cluster_11_10,-0.07338856,-0.15145764,-0.10179755,-0.02562264,11
cluster_11_11,0.14595223,-0.04030415,0.17457139,0.15777639,11
cluster_12_1,0.2095266,0.25782685,0.1225534,-0.22596866,12
cluster_12_2,0.36196934,-0.08931708,-0.02179408,-0.21511411,12
cluster_12_3,0.04414319,0.23766128,-0.04130105,0.17366166,12
cluster_12_4,-0.09155849,0.18079394,-0.09361142,0.01219763,12
cluster_12_5,0.29956461,0.08338423,-0.02709495,0.34726446,12
cluster_12_6,-0.14372898,0.1542797,0.17062546,0.00199953,12
cluster_12_7,0.05638787,-0.10317294,-0.10164531,0.03532206,12
cluster_12_8,-0.04350037,-0.13537876,0.16089836,-0.00828535,12
cluster_12_9,0.1546153,0.23645799,-0.2036807,-0.17174225,12
cluster_12_10,-0.19552753,0.14390919,-0.09350747,-0.01819253,12
cluster_12_11,-0.08857958,-0.12879383,-0.10184096,-0.01144539,12
cluster_12_12,0.15181424,-0.06876752,0.17471943,0.14525303,12
cluster_13_1,0.20680917,0.25707172,0.12320719,-0.22627566,13
cluster_13_2,0.37073008,-0.08578517,-0.02052334,-0.21404708,13
cluster_13_3,-0.05814532,0.19210967,-0.09078803,0.05491708,13
cluster_13_4,0.15122153,0.24102916,-0.20313653,-0.16785381,13
cluster_13_5,-0.14114852,0.1552702,0.17060869,0.00478374,13
cluster_13_6,0.0666913,-0.11164502,0.16895381,0.04060164,13
cluster_13_7,-0.1388384,-0.04605358,-0.10369721,0.03786172,13
cluster_13_8,0.03338109,-0.11700684,-0.1035568,-0.00214803,13
cluster_13_9,-0.09105186,-0.14044952,0.15782048,-0.01202154,13
cluster_13_10,0.29547614,0.14466883,0.03307496,0.35609662,13
cluster_13_11,-0.19494104,0.14422401,-0.09398055,-0.01856567,13
cluster_13_12,-0.07428036,-0.15185987,-0.10105819,-0.02463374,13
cluster_13_13,0.1416544,-0.0612204,-0.09819459,0.15192112,13
cluster_14_1,0.18232071,0.25302809,-0.02075046,-0.22224557,14
cluster_14_2,0.37360611,-0.07553099,-0.02151959,-0.21588546,14
cluster_14_3,0.24461436,0.30053984,0.01486701,0.27454176,14
cluster_14_4,0.27439148,-0.01469994,0.00509082,0.3240884,14
cluster_14_5,-0.07349886,-0.15143811,-0.10172497,-0.02548603,14
cluster_14_6,-0.18408171,0.1505422,-0.09357294,0.00321052,14
cluster_14_7,-0.14196798,-0.05501472,0.15643192,0.03937311,14
cluster_14_8,0.05720212,-0.10374867,-0.1016595,0.03509634,14
cluster_14_9,-0.07837267,-0.16081916,0.15794643,-0.02434644,14
cluster_14_10,-0.06378086,0.19153911,-0.09663992,0.0325952,14
cluster_14_11,-0.19751156,0.14278712,-0.09407202,-0.0237833,14
cluster_14_12,-0.13367246,0.15712475,0.1762676,-0.00150969,14
cluster_14_13,0.06208437,-0.11189977,0.17043408,0.0271335,14
cluster_14_14,-0.13882307,-0.04604634,-0.10370034,0.037869,14
cluster_15_1,0.20721418,0.28170988,0.06223238,-0.24205235,15
cluster_15_2,0.03006629,-0.11718246,-0.10093835,0.0041893,15
cluster_15_3,-0.04551473,-0.13495569,0.15954105,-0.00633006,15
cluster_15_4,-0.19539521,0.14398444,-0.09350341,-0.01794937,15
cluster_15_5,-0.20023863,0.13446523,0.16634186,-0.01694847,15
cluster_15_6,-0.07429915,-0.15186112,-0.10106477,-0.02468014,15
cluster_15_7,0.13540007,-0.06571337,0.00224376,0.15492371,15
cluster_15_8,0.07058798,0.23204382,0.19447157,0.13892922,15
cluster_15_9,0.26205282,0.02483374,-0.20568005,-0.16591142,15
cluster_15_10,0.04475217,0.24280472,-0.09700728,0.15062448,15
cluster_15_11,-0.08259532,0.1897341,-0.10403533,-0.00847729,15
cluster_15_12,0.34170208,0.13106007,0.00358842,0.38200348,15
cluster_15_13,-0.07664934,0.17284251,0.18828405,-0.0180669,15
cluster_15_14,0.37365565,-0.07965363,0.11107063,-0.22697292,15
cluster_15_15,-0.13882448,-0.04604709,-0.10370044,0.03786801,15
cluster_16_1,0.25453998,0.09604448,0.10104294,-0.26335805,16
cluster_16_2,0.02956,-0.11676002,-0.10103862,0.00585215,16
cluster_16_3,0.06360657,0.26910039,-0.05666984,0.13848726,16
cluster_16_4,0.26120044,0.11185875,0.00717157,0.4365133,16
cluster_16_5,0.5636588,0.15354304,0.01480787,0.03532558,16
cluster_16_6,-0.07678276,-0.15323535,-0.10205397,-0.030132,16
cluster_16_7,0.14606722,-0.06901754,0.17186982,0.14797964,16
cluster_16_8,-0.06435189,-0.14603303,-0.10226184,-0.00671035,16
cluster_16_9,0.2230707,0.02942416,-0.2072479,-0.18353578,16
cluster_16_10,-0.09124207,-0.14037262,0.15759203,-0.01145895,16
cluster_16_11,-0.15305554,0.16385623,-0.09624013,-0.01230698,16
cluster_16_12,-0.13685128,0.16319356,0.17100858,-0.0036559,16
cluster_16_13,0.13818512,-0.0622746,-0.09666548,0.15352511,16
cluster_16_14,0.03507821,-0.12835279,0.16665934,-0.00709367,16
cluster_16_15,-0.13884301,-0.04605624,-0.10369063,0.03787122,16
cluster_16_16,-0.0573107,-0.15737812,0.00626742,0.01637793,16
cluster_17_1,0.18595694,0.26689934,0.08732032,-0.25055658,17
cluster_17_2,0.34015071,-0.10007762,-0.03623151,-0.23629076,17
cluster_17_3,-0.06602809,0.18890442,-0.09149557,0.04306587,17
cluster_17_4,0.17633553,0.14101233,-0.20354194,-0.169669,17
cluster_17_5,0.57286693,0.19637203,0.00069096,0.09915668,17
cluster_17_6,-0.07547806,-0.15249638,-0.10205848,-0.02764254,17
cluster_17_7,-0.05774527,-0.14457173,-0.08522455,0.00810054,17
cluster_17_8,0.22443329,0.00752247,0.31775167,-0.16655196,17
cluster_17_9,0.06626006,0.4415169,-0.18054176,-0.18224638,17
cluster_17_10,0.03143381,-0.1171678,-0.10293044,0.00198767,17
cluster_17_11,-0.04730537,-0.13497111,0.15822712,-0.00501383,17
cluster_17_12,0.20576107,0.15224242,0.00809605,0.38406192,17
cluster_17_13,-0.19486664,0.14425056,-0.0940656,-0.01872327,17
cluster_17_14,-0.14275588,0.15602611,0.16930727,0.00728495,17
cluster_17_15,0.13943987,-0.06290857,-0.09735487,0.15144621,17
cluster_17_16,0.13560711,-0.07119419,0.16452991,0.15504846,17
cluster_17_17,-0.1388435,-0.04605651,-0.10369065,0.0378709,17
cluster_18_1,0.02919492,-0.11676944,-0.10035578,0.00544626,18
cluster_18_2,0.29289942,-0.10192113,-0.21412034,-0.17992407,18
cluster_18_3,0.04428034,0.23389932,-0.05826251,0.17180359,18
cluster_18_4,-0.19549376,0.14392888,-0.09350821,-0.01812912,18
cluster_18_5,-0.20018442,0.13449085,0.16629646,-0.01700667,18
cluster_18_6,0.56109664,0.20563108,0.00837581,0.08063101,18
cluster_18_7,0.11809279,-0.07044674,-0.09690469,0.12348187,18
cluster_18_8,0.21078837,-0.03157902,-0.09791413,0.25759773,18
cluster_18_9,-0.13884598,-0.04605644,-0.10370049,0.03784786,18
cluster_18_10,0.11345129,0.4707985,-0.02879077,-0.22852029,18
cluster_18_11,-0.04633382,-0.13505153,0.15923189,-0.00598887,18
cluster_18_12,-0.08833619,0.17965071,-0.09646236,0.00796703,18
cluster_18_13,0.18879118,0.17522833,-0.04183374,-0.22846258,18
cluster_18_14,0.25694835,0.10841327,0.00903342,0.43985753,18
cluster_18_15,-0.04426714,0.18374704,0.19457669,0.01098402,18
cluster_18_16,-0.07431197,-0.15186739,-0.10106508,-0.02470555,18
cluster_18_17,0.13907485,-0.06941993,0.16751499,0.15316462,18
cluster_18_18,0.33914483,-0.0937139,0.12023699,-0.24326573,18
cluster_19_1,0.155338997,0.252963865,-0.0333494102,-0.234694897,19
cluster_19_2,0.0325384559,-0.116752753,-0.103695988,0.000102889673,19
cluster_19_3,-0.0784743151,-0.16083684,0.157981128,-0.0242446929,19
cluster_19_4,-0.0636363946,0.191820425,-0.09619127,0.0345124027,19
cluster_19_5,-0.0358268089,0.187987711,0.195605072,0.0217059741,19
cluster_19_6,0.524482054,0.217346795,-0.0279134665,0.0393826583,19
cluster_19_7,0.0605211874,-0.117825846,0.168991901,0.02482955,19
cluster_19_8,0.264275299,-0.0117612225,0.186114964,0.313423399,19
cluster_19_9,-0.0454385269,-0.0137963035,-0.101688027,0.0847168875,19
cluster_19_10,-0.175762662,-0.0663337033,0.155807343,0.029476932,19
cluster_19_11,0.340755641,-0.0909382444,-0.0221609214,-0.238197487,19
cluster_19_12,0.1997936,0.172652142,-0.0492270925,0.384056987,19
cluster_19_13,-0.195153011,0.144106862,-0.0937851132,-0.0183141625,19
cluster_19_14,-0.200041261,0.134571409,0.166214568,-0.0171587749,19
cluster_19_15,-0.0765519526,-0.153076379,-0.102057099,-0.0296791222,19
cluster_19_16,0.149607313,-0.0694895053,-0.0980657038,0.146964071,19
cluster_19_17,-0.0649423329,-0.146654154,-0.0971865766,-0.00432404341,19
cluster_19_18,-0.0482723463,-0.0225153485,0.158318345,0.0879525824,19
cluster_19_19,-0.170874898,-0.0567889198,-0.104102709,0.0284427883,19
cluster_20_1,0.22008057,0.18058574,0.07085828,-0.26379398,20
cluster_20_2,0.20557764,0.02188145,-0.20552689,-0.1864828,20
cluster_20_3,0.21468154,0.09613733,0.05263005,0.37169904,20
cluster_20_4,-0.19480331,0.14428147,-0.09409767,-0.01873191,20
cluster_20_5,-0.14309629,0.15463992,0.1682371,0.00826535,20
cluster_20_6,-0.07432591,-0.15186402,-0.10107354,-0.02472995,20
cluster_20_7,0.48717283,0.33533623,-0.00802914,0.12555871,20
cluster_20_8,0.11914028,0.46729231,0.12971521,-0.24566422,20
cluster_20_9,0.0453924,-0.10765256,-0.09978755,0.03772007,20
cluster_20_10,0.31646683,-0.10739777,0.06282834,-0.27363526,20
cluster_20_11,0.02374627,-0.11980631,-0.10077887,-0.00749528,20
cluster_20_12,-0.02634702,-0.1279189,0.15890492,0.0124038,20
cluster_20_13,-0.05944243,0.19157337,-0.09104775,0.05237253,20
cluster_20_14,0.57624009,-0.00954034,-0.03466042,-0.03598771,20
cluster_20_15,0.14532759,-0.06842029,-0.09564347,0.15153333,20
cluster_20_16,0.03010486,-0.11650653,-0.09867791,0.01013461,20
cluster_20_17,0.20603933,0.00105897,0.32548273,-0.15102658,20
cluster_20_18,-0.04594288,-0.01400447,-0.10170097,0.08408685,20
cluster_20_19,0.06633492,0.40899357,-0.20200981,-0.17398189,20
cluster_20_20,-0.17086192,-0.05678219,-0.10411719,0.02842751,20
